amount,account_age,holder_age,account_balance,transaction_time,entry_type,gender,broswer,avs,cvv,connection_type,card_number,account_type,location,bank,label
1009,6072,40,5067,3,chip,female,Mozilla/5.0,n,9367,https,566,credit,Bulawayo,FBC Bank,False
6570,1393,45,4265,12,chip,female,Safari/537.36,n,4207,https,390,credit,Harare,First Capital Bank,False
981,916,55,501,13,online,female,AppleWebKit/537.36,n,3051,https,112,debit,Gweru,FBC Bank,False
7177,569,51,3715,6,online,female,Mozilla/5.0,n,1174,http,700,debit,Bulawayo,FBC Bank,False
5259,4331,33,3876,5,chip,female,Safari/537.36,y,4617,http,851,debit,Bulawayo,Agribank,False
3725,1786,28,2989,8,magnetic strip,female,Linux x86_64,y,4160,https,396,debit,Harare,Agribank,False
1185,7281,44,5480,10,online,female,Chrome/41.0.2272.89,n,8254,https,632,debit,Bulawayo,BANC ABC,False
5148,3590,37,1651,5,online,female,Mozilla/5.0,n,9262,https,667,debit,Bulawayo,Agribank,False
7336,4601,42,735,13,online,female,Chrome/41.0.2272.89,y,6721,http,609,debit,Harare,BANC ABC,False
7538,9245,51,1299,12,chip,female,Safari/537.36,n,4715,http,975,debit,Gweru,Steward Bank,False
7272,143,38,3182,8,chip,male,Chrome/41.0.2272.89,n,4132,http,239,credit,Harare,FBC Bank,False
6916,1653,41,218,2,magnetic strip,female,Chrome/41.0.2272.89,y,3827,https,404,debit,Gweru,CBZ Bank,False
6854,3409,49,5185,6,online,male,Chrome/41.0.2272.89,n,6355,https,478,debit,Kwekwe,Steward Bank,False
6482,5861,35,1374,13,chip,female,Mozilla/5.0,y,8148,https,522,credit,Hwange,Agribank,True
7815,10289,54,1396,2,online,female,Mozilla/5.0,n,7482,https,427,debit,Hwange,Agribank,False
2750,8847,52,760,8,chip,female,Chrome/41.0.2272.89,n,3331,http,160,debit,Gweru,CBZ Bank,False
1874,5045,38,2043,11,magnetic strip,female,Safari/537.36,n,8095,http,998,debit,Bulawayo,Agribank,False
5984,2620,26,5789,9,magnetic strip,female,Mozilla/5.0,y,3433,http,843,debit,Gweru,Agribank,False
6684,3343,54,963,3,chip,female,Safari/537.36,n,7478,https,907,credit,Bindura,First Capital Bank,False
6017,3248,49,5748,8,chip,male,Mozilla/5.0,n,1821,https,289,credit,Kwekwe,Steward Bank,True
4329,2228,41,3429,3,magnetic strip,female,Chrome/41.0.2272.89,n,6972,http,471,debit,Bulawayo,FBC Bank,False
3276,615,36,3968,3,chip,female,Safari/537.36,n,4446,http,528,credit,Harare,Steward Bank,False
1764,4060,56,1356,9,online,female,lk/41.0.2272.89,n,9140,https,905,debit,Bindura,CBZ Bank,False
8925,3272,30,1232,7,chip,female,Chrome/41.0.2272.89,y,2090,http,358,credit,Gweru,BANC ABC,False
1460,4781,56,4279,6,magnetic strip,female,Mozilla/5.0,n,2590,http,326,debit,Bindura,FBC Bank,False
8714,9004,36,2001,5,magnetic strip,male,Mozilla/5.0,y,8121,https,860,credit,Bulawayo,BANC ABC,False
968,7634,57,181,5,chip,female,Mozilla/5.0,n,7210,http,207,debit,Rusape,First Capital Bank,False
7308,4957,27,3265,13,online,male,Chrome/41.0.2272.89,y,3371,http,704,credit,Kwekwe,CBZ Bank,False
6474,6004,39,2308,1,online,female,Chrome/41.0.2272.89,y,5551,https,186,debit,Kwekwe,BANC ABC,False
7002,9196,57,848,11,magnetic strip,male,Linux x86_64,n,7035,https,843,debit,Marondera,Agribank,False
6715,10034,51,400,10,online,male,Safari/537.36,n,7168,http,166,debit,Kwekwe,Steward Bank,False
3687,1208,38,856,6,magnetic strip,male,Mozilla/5.0,n,6129,http,142,debit,Rusape,Agribank,False
7220,5745,24,3493,12,online,female,Mozilla/5.0,y,7188,http,186,debit,Harare,CBZ Bank,True
1057,8281,43,2521,4,chip,female,Safari/537.36,y,9047,http,730,credit,Bulawayo,Agribank,False
1545,2101,30,3541,13,chip,male,Safari/537.36,n,8026,http,366,credit,Kwekwe,Steward Bank,False
8499,1025,37,3486,13,magnetic strip,female,Safari/537.36,n,8872,https,811,credit,Marondera,First Capital Bank,False
8153,4614,31,757,3,chip,female,Chrome/41.0.2272.89,n,1174,https,375,debit,Harare,Steward Bank,False
6703,2305,33,3245,7,online,female,Chrome/41.0.2272.89,n,9109,https,632,credit,Marondera,CBZ Bank,False
1748,1441,44,5195,3,chip,male,Linux x86_64,n,1893,https,511,credit,Kwekwe,First Capital Bank,False
4541,4387,37,5047,13,online,female,Mozilla/5.0,y,7087,https,118,credit,Hwange,Agribank,False
8359,3133,26,2106,8,online,male,Linux x86_64,n,6204,http,996,debit,Bulawayo,FBC Bank,True
3369,217,29,4791,12,magnetic strip,female,Mozilla/5.0,n,6635,https,271,credit,Kwekwe,Agribank,False
3289,4195,50,5577,11,chip,male,Safari/537.36,n,7839,http,467,credit,Kwekwe,Steward Bank,False
7482,7904,27,5218,1,magnetic strip,female,Mozilla/5.0,n,5663,https,777,debit,Rusape,CBZ Bank,False
1776,6731,35,4982,3,chip,female,Mozilla/5.0,y,7950,http,579,debit,Harare,Agribank,False
8855,8845,36,4711,6,magnetic strip,male,Chrome/41.0.2272.89,y,8231,https,970,credit,Bulawayo,Agribank,False
8034,6564,33,5316,9,magnetic strip,female,Mozilla/5.0,y,6482,https,696,debit,Bulawayo,Agribank,False
8516,5173,29,5566,2,online,male,Safari/537.36,n,9169,https,815,credit,Harare,Steward Bank,False
2196,4877,38,4047,8,chip,female,Mozilla/5.0,y,4549,https,595,debit,Harare,Agribank,False
4587,5308,56,4093,13,online,male,Mozilla/5.0,y,5490,http,830,debit,Bulawayo,Agribank,False
8099,2532,48,3285,5,chip,female,AppleWebKit/537.36,n,6002,https,728,credit,Hwange,Agribank,False
8110,1013,35,4153,5,online,female,Chrome/41.0.2272.89,y,5301,https,410,debit,Harare,CBZ Bank,False
6930,9042,24,5145,12,chip,male,Chrome/41.0.2272.89,y,3140,http,106,credit,Marondera,Steward Bank,False
1520,9588,30,1485,4,chip,female,Mozilla/5.0,n,4453,https,376,debit,Hwange,Agribank,False
6652,660,44,3533,3,chip,female,Safari/537.36,y,2273,https,262,debit,Rusape,Steward Bank,True
1113,720,57,2919,1,online,female,Chrome/41.0.2272.89,y,6017,http,157,credit,Marondera,Agribank,False
1834,8624,33,450,2,chip,female,AppleWebKit/537.36,n,8533,https,865,debit,Bulawayo,Agribank,False
2818,7328,24,518,12,chip,female,Safari/537.36,n,2923,http,683,credit,Gweru,FBC Bank,False
6028,3051,56,5650,9,magnetic strip,female,Safari/537.36,y,6445,https,726,debit,Gweru,First Capital Bank,False
7570,2013,42,4168,3,online,female,Mozilla/5.0,n,9655,https,320,debit,Harare,First Capital Bank,False
6514,5863,41,1658,10,chip,female,Chrome/41.0.2272.89,n,5230,https,118,credit,Harare,Agribank,False
5604,7671,40,1206,7,magnetic strip,female,Chrome/41.0.2272.89,y,9031,http,192,debit,Rusape,BANC ABC,False
7323,6802,57,115,3,online,male,Mozilla/5.0,y,8945,http,768,credit,Harare,First Capital Bank,False
3310,3701,56,2672,9,online,female,Mozilla/5.0,n,9488,https,548,credit,Kwekwe,Agribank,False
1378,5514,30,5502,8,chip,female,Chrome/41.0.2272.89,y,4027,https,721,credit,Hwange,Agribank,True
1129,6096,40,4514,8,magnetic strip,female,Safari/537.36,n,8770,https,459,debit,Bulawayo,BANC ABC,False
8097,8617,42,3936,10,chip,male,Safari/537.36,y,1266,https,264,credit,Harare,First Capital Bank,False
8879,5944,37,3629,2,magnetic strip,male,Mozilla/5.0,n,3689,https,145,credit,Bulawayo,CBZ Bank,False
5799,3305,30,957,10,online,female,Chrome/41.0.2272.89,y,1227,https,608,debit,Kwekwe,CBZ Bank,False
2203,946,52,1967,6,chip,male,Chrome/41.0.2272.89,n,5526,http,209,credit,Hwange,BANC ABC,False
6793,1272,42,4115,6,online,female,Mozilla/5.0,n,9303,http,203,debit,Kwekwe,CBZ Bank,True
1430,9966,33,1976,1,chip,male,Safari/537.36,y,2769,http,502,debit,Bindura,Agribank,False
8599,1407,28,452,7,online,female,Linux x86_64,n,9070,https,817,debit,Gweru,Agribank,False
4919,2088,35,4931,5,online,female,Chrome/41.0.2272.89,n,9753,http,769,debit,Bulawayo,BANC ABC,False
2659,2010,57,968,9,chip,female,Chrome/41.0.2272.89,n,8612,https,293,credit,Gweru,BANC ABC,False
6895,9657,54,1682,5,online,male,Chrome/41.0.2272.89,n,3900,https,188,debit,Harare,CBZ Bank,False
4533,2058,26,5674,9,chip,female,Chrome/41.0.2272.89,y,7254,https,398,debit,Gweru,CBZ Bank,False
3411,8183,49,1226,8,chip,female,Mozilla/5.0,y,9392,https,923,credit,Harare,Agribank,False
3285,59,42,1947,2,chip,female,Mozilla/5.0,n,8921,https,732,credit,Harare,FBC Bank,False
7868,6680,24,254,7,chip,female,Mozilla/5.0,n,4396,https,145,credit,Gweru,Agribank,False
4646,1735,31,799,9,chip,male,Chrome/41.0.2272.89,n,8029,http,860,credit,Rusape,BANC ABC,False
6859,4805,39,4102,10,magnetic strip,male,Chrome/41.0.2272.89,y,7261,http,884,debit,Harare,Steward Bank,True
744,10081,48,557,10,magnetic strip,male,Mozilla/5.0,n,1653,http,307,credit,Gweru,BANC ABC,False
4560,782,26,4662,10,magnetic strip,female,Mozilla/5.0,y,4959,http,279,debit,Bulawayo,Agribank,False
4263,6864,36,1858,6,online,male,Safari/537.36,n,7141,https,396,credit,Harare,BANC ABC,False
1443,4973,40,2088,9,online,female,Mozilla/5.0,y,1012,https,662,credit,Kwekwe,CBZ Bank,False
2759,10220,54,219,2,chip,male,Chrome/41.0.2272.89,y,7180,https,440,debit,Hwange,Agribank,False
6214,662,48,5278,5,chip,male,Chrome/41.0.2272.89,n,2460,https,703,debit,Harare,Steward Bank,False
5407,3808,29,512,8,online,female,Chrome/41.0.2272.89,y,6623,http,260,credit,Harare,Steward Bank,True
5176,6131,47,5183,12,chip,male,lk/41.0.2272.89,n,7085,http,742,credit,Harare,BANC ABC,False
6500,1237,31,4384,11,online,female,lk/41.0.2272.89,y,2020,https,412,debit,Marondera,Agribank,False
6898,3292,26,1060,1,chip,female,Mozilla/5.0,n,5889,https,846,credit,Bindura,BANC ABC,True
2954,8077,48,2498,8,online,female,Chrome/41.0.2272.89,n,8177,https,732,debit,Bindura,Steward Bank,False
8793,7913,33,3911,12,chip,male,Mozilla/5.0,n,2605,https,875,credit,Rusape,FBC Bank,False
3914,7262,41,584,4,online,female,Mozilla/5.0,y,1528,https,828,debit,Harare,First Capital Bank,False
4109,10911,47,3013,10,chip,male,Chrome/41.0.2272.89,y,8925,http,842,debit,Bulawayo,First Capital Bank,False
2134,9247,36,3378,7,chip,male,Mozilla/5.0,y,4067,https,807,debit,Rusape,FBC Bank,False
528,3099,50,1052,10,online,female,Mozilla/5.0,y,4138,https,985,credit,Harare,Agribank,False
5004,9371,43,5123,9,chip,male,Chrome/41.0.2272.89,n,5466,https,892,credit,Gweru,Agribank,False
7138,9001,37,1931,9,online,female,Mozilla/5.0,y,8410,https,690,debit,Bindura,Agribank,False
8604,5840,28,614,1,online,male,Chrome/41.0.2272.89,n,7428,http,701,credit,Bulawayo,Agribank,False
3480,6632,46,2705,1,magnetic strip,male,Mozilla/5.0,n,3961,http,879,credit,Harare,FBC Bank,True
4841,1031,52,1827,6,chip,female,Chrome/41.0.2272.89,n,5827,http,943,credit,Bulawayo,First Capital Bank,True
4208,8894,42,3330,11,magnetic strip,female,Mozilla/5.0,n,4961,https,627,credit,Harare,FBC Bank,False
885,4082,35,3674,6,magnetic strip,male,Mozilla/5.0,y,8171,http,763,debit,Kwekwe,FBC Bank,False
1661,5538,56,1305,6,chip,female,Mozilla/5.0,n,6051,http,610,credit,Bindura,Agribank,True
2670,5854,38,5254,10,magnetic strip,female,Safari/537.36,y,3380,https,923,credit,Kwekwe,Steward Bank,False
2517,3383,47,2402,6,chip,female,Safari/537.36,n,9213,https,151,credit,Hwange,BANC ABC,False
2766,9898,50,2196,10,chip,female,Chrome/41.0.2272.89,n,1005,http,235,credit,Bulawayo,Agribank,False
2181,6487,39,5145,4,magnetic strip,female,Linux x86_64,y,3474,https,627,debit,Bulawayo,BANC ABC,False
4997,253,27,2682,8,chip,female,Chrome/41.0.2272.89,n,2615,https,771,debit,Bindura,CBZ Bank,False
1266,5982,30,226,2,online,male,Mozilla/5.0,y,9133,https,377,debit,Hwange,First Capital Bank,False
3834,7819,56,872,9,chip,male,Mozilla/5.0,y,1166,https,542,credit,Bulawayo,BANC ABC,False
5969,5764,30,2605,9,chip,female,Chrome/41.0.2272.89,n,9830,https,275,credit,Bulawayo,Agribank,False
5639,9305,45,5133,3,online,male,Linux x86_64,y,6547,https,781,credit,Bulawayo,Agribank,False
8992,7820,28,5587,2,online,female,Chrome/41.0.2272.89,y,7166,http,329,credit,Bulawayo,FBC Bank,False
7934,5214,46,5666,2,online,female,Mozilla/5.0,n,5633,http,538,debit,Harare,Agribank,True
3344,10427,37,1436,2,online,female,Chrome/41.0.2272.89,n,7851,https,655,debit,Hwange,Agribank,False
7976,7883,28,3532,13,magnetic strip,male,Mozilla/5.0,n,5574,https,494,debit,Gweru,Agribank,False
2856,2317,50,5069,11,chip,female,Chrome/41.0.2272.89,n,1146,http,458,debit,Hwange,Steward Bank,False
7702,6904,50,2404,2,online,female,Mozilla/5.0,n,7932,http,959,credit,Bindura,Agribank,False
8831,8354,49,5167,9,chip,male,Mozilla/5.0,y,1872,http,868,credit,Harare,BANC ABC,False
1360,6181,48,3686,1,online,female,Chrome/41.0.2272.89,n,3728,https,545,credit,Marondera,Agribank,False
6889,5349,31,2877,1,chip,male,lk/41.0.2272.89,n,1703,http,196,credit,Bulawayo,Steward Bank,False
5626,4771,42,215,11,chip,male,Linux x86_64,y,3099,http,327,debit,Bulawayo,Agribank,False
6600,2293,33,5022,9,chip,female,AppleWebKit/537.36,n,7863,http,770,debit,Harare,First Capital Bank,False
3290,6323,33,5762,12,magnetic strip,female,Mozilla/5.0,n,2852,http,549,debit,Bulawayo,BANC ABC,False
3653,10739,38,3373,12,chip,female,lk/41.0.2272.89,n,4881,http,379,debit,Bulawayo,Steward Bank,False
1475,10030,37,3735,13,chip,female,Chrome/41.0.2272.89,n,2956,http,178,credit,Harare,Steward Bank,False
6135,4473,45,2138,8,online,female,Mozilla/5.0,n,4711,https,681,credit,Bulawayo,Agribank,False
2653,670,46,4466,7,chip,female,Chrome/41.0.2272.89,y,2162,http,726,credit,Kwekwe,Agribank,False
1034,6141,40,3811,6,magnetic strip,female,Chrome/41.0.2272.89,n,6856,https,912,credit,Rusape,CBZ Bank,False
5099,1159,49,357,4,online,male,Chrome/41.0.2272.89,n,4367,https,178,debit,Marondera,BANC ABC,False
5793,7979,42,5530,10,magnetic strip,female,Chrome/41.0.2272.89,y,9590,https,128,debit,Harare,Agribank,False
8734,7341,32,5963,12,chip,female,Chrome/41.0.2272.89,n,3349,http,958,debit,Gweru,First Capital Bank,False
5285,10209,27,4438,6,chip,male,Mozilla/5.0,y,1134,https,543,credit,Marondera,First Capital Bank,False
6591,4533,37,3216,2,online,female,Mozilla/5.0,n,7725,https,739,debit,Marondera,BANC ABC,False
3636,3213,56,1746,11,chip,female,Mozilla/5.0,n,4699,http,890,debit,Kwekwe,Steward Bank,False
7936,2425,38,1326,7,chip,female,Mozilla/5.0,y,3446,https,742,credit,Harare,BANC ABC,False
4068,1297,28,2761,8,magnetic strip,female,Safari/537.36,y,8984,https,353,debit,Rusape,CBZ Bank,False
5237,10839,37,5108,8,online,male,Chrome/41.0.2272.89,y,9506,http,356,credit,Harare,Agribank,False
3943,1368,54,2145,2,chip,female,Chrome/41.0.2272.89,y,2016,http,807,credit,Marondera,FBC Bank,False
8613,1942,38,1617,11,online,female,Mozilla/5.0,y,9159,https,746,credit,Rusape,Agribank,False
4758,8398,45,2159,13,chip,female,AppleWebKit/537.36,n,9553,https,160,credit,Harare,Agribank,False
7256,8400,53,4451,13,magnetic strip,female,Mozilla/5.0,y,4413,https,811,debit,Bulawayo,Agribank,False
5371,4962,24,4591,10,online,male,Safari/537.36,n,6181,http,749,credit,Gweru,Steward Bank,False
7841,9001,47,2429,2,chip,male,Safari/537.36,y,8211,http,740,debit,Harare,Agribank,False
5047,4569,53,2590,7,magnetic strip,female,Chrome/41.0.2272.89,n,5908,https,265,debit,Marondera,CBZ Bank,False
4892,5052,45,3503,8,chip,male,Chrome/41.0.2272.89,y,1610,https,657,credit,Hwange,BANC ABC,False
2431,8725,46,130,9,online,male,Safari/537.36,y,5161,http,621,debit,Rusape,Agribank,False
1457,2022,35,800,4,online,female,Mozilla/5.0,n,3988,http,271,debit,Gweru,Agribank,False
1508,10964,32,813,13,magnetic strip,female,Chrome/41.0.2272.89,n,6708,http,390,debit,Bulawayo,Steward Bank,False
1060,1194,28,3840,10,chip,male,Mozilla/5.0,n,9798,https,459,debit,Kwekwe,BANC ABC,False
5208,5889,55,4307,8,chip,female,Chrome/41.0.2272.89,y,6532,http,964,debit,Bulawayo,CBZ Bank,False
5181,472,49,324,5,online,female,Safari/537.36,n,4291,http,503,credit,Harare,First Capital Bank,False
3743,3198,25,589,9,chip,male,AppleWebKit/537.36,n,7863,http,387,credit,Kwekwe,Agribank,False
2633,3894,24,591,3,chip,female,Chrome/41.0.2272.89,n,9353,http,832,debit,Bulawayo,Agribank,False
6774,3166,48,1588,10,chip,female,Safari/537.36,y,2665,https,426,debit,Harare,BANC ABC,False
1883,7613,51,3539,7,online,female,Mozilla/5.0,n,2850,https,802,credit,Bulawayo,Steward Bank,False
7494,2851,25,2737,5,chip,female,Mozilla/5.0,y,9572,https,694,credit,Harare,Agribank,False
5479,8545,44,3030,1,online,female,Mozilla/5.0,y,1568,https,855,debit,Marondera,Agribank,False
533,5422,25,420,8,online,male,Safari/537.36,n,6477,https,213,debit,Gweru,Steward Bank,False
2117,3741,41,2432,11,online,female,Chrome/41.0.2272.89,y,5289,http,463,debit,Bulawayo,Agribank,False
8153,1781,39,1537,3,magnetic strip,female,Chrome/41.0.2272.89,n,1737,https,515,debit,Harare,Agribank,False
6793,929,48,4941,9,chip,female,Safari/537.36,n,3928,https,181,credit,Bulawayo,Steward Bank,False
3264,3511,35,5105,7,online,female,Mozilla/5.0,n,1219,https,502,credit,Bulawayo,Agribank,False
8116,4728,45,1813,12,chip,female,Mozilla/5.0,y,2588,http,830,credit,Rusape,FBC Bank,False
8661,4253,53,3448,1,chip,female,lk/41.0.2272.89,y,8740,http,717,credit,Kwekwe,Agribank,False
6669,4100,39,5508,9,online,male,Mozilla/5.0,y,7718,https,634,credit,Hwange,Agribank,False
1519,4251,30,2167,12,chip,male,Safari/537.36,y,9987,http,531,credit,Kwekwe,FBC Bank,False
7046,4358,46,544,12,chip,male,Mozilla/5.0,y,7525,http,509,debit,Kwekwe,Agribank,False
7731,2321,53,4840,7,online,female,Chrome/41.0.2272.89,y,3031,http,703,credit,Harare,Agribank,False
3628,1331,38,3308,7,online,female,Chrome/41.0.2272.89,y,3558,http,623,credit,Hwange,BANC ABC,False
836,2746,43,5054,10,chip,female,Chrome/41.0.2272.89,y,5073,http,108,debit,Harare,First Capital Bank,False
2364,210,40,2346,13,online,female,Safari/537.36,y,4548,https,161,debit,Kwekwe,BANC ABC,False
3044,5747,39,3597,8,chip,female,Mozilla/5.0,y,8313,https,741,credit,Harare,Steward Bank,False
2505,3673,48,1753,12,chip,female,Chrome/41.0.2272.89,y,1034,http,102,credit,Bulawayo,BANC ABC,False
2995,2450,48,642,7,chip,female,AppleWebKit/537.36,n,8768,http,458,debit,Kwekwe,Agribank,False
4706,4448,35,5046,9,online,female,Mozilla/5.0,y,1872,https,562,credit,Bulawayo,Agribank,False
1116,8978,47,4289,6,magnetic strip,female,Mozilla/5.0,n,3613,https,875,credit,Bulawayo,Steward Bank,False
2566,6422,32,3340,10,chip,male,Safari/537.36,y,9776,http,700,debit,Harare,CBZ Bank,False
675,9325,53,2011,12,chip,female,Safari/537.36,n,1850,http,656,debit,Gweru,Agribank,False
5202,10354,24,1274,9,online,male,Mozilla/5.0,y,3614,http,915,credit,Harare,Agribank,False
2952,5959,33,3411,11,magnetic strip,male,Chrome/41.0.2272.89,n,4535,https,193,debit,Bulawayo,BANC ABC,False
5968,2287,40,1826,11,chip,male,Safari/537.36,n,3158,https,889,credit,Hwange,CBZ Bank,False
7351,5465,44,2365,1,magnetic strip,male,Chrome/41.0.2272.89,n,2609,http,958,debit,Gweru,Steward Bank,False
8525,6041,27,2899,4,online,female,Chrome/41.0.2272.89,y,5694,http,721,debit,Hwange,FBC Bank,False
733,7741,47,5598,4,online,female,Mozilla/5.0,y,2701,https,556,debit,Kwekwe,CBZ Bank,False
8803,2076,24,1234,8,chip,male,Mozilla/5.0,n,9657,http,147,credit,Kwekwe,CBZ Bank,False
2853,1124,24,5780,12,chip,female,AppleWebKit/537.36,y,9960,http,942,credit,Gweru,Agribank,False
6911,2729,34,4191,5,chip,male,Chrome/41.0.2272.89,n,2914,http,123,credit,Harare,Agribank,False
7228,10813,33,5870,13,magnetic strip,male,Mozilla/5.0,y,6327,https,487,debit,Rusape,CBZ Bank,False
3359,6120,57,5090,10,online,male,Safari/537.36,y,3622,https,269,credit,Hwange,Agribank,False
