feature0,feature1,feature2,feature3,feature4,age,feature5,cv_data,asv,cvv,Amount,CardNo,Label,location,card_type,bank
435.0,329.0,323.0,4.0,110.0,15.0,4.0,16.0,13.0,1.0,879.0,16893.0,False,Marondera,Debit,First Capital Bank
435.0,324.0,321.0,50.0,126.0,47.0,4.0,17.0,4.0,4.0,31.0,16893.0,False,Bindura,Credit,Standard Bank
435.0,396.0,321.0,81.0,119.0,70.0,14.0,17.0,5.0,1.0,260.0,16893.0,False,Kadoma,Debit,Cabs Bank
435.0,330.0,321.0,33.0,121.0,26.0,4.0,17.0,9.0,18.0,165.0,16893.0,False,Harare,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,56.0,16893.0,False,Harare,Credit,FBC Bank
435.0,331.0,314.0,107.0,83.0,80.0,12.0,17.0,15.0,3.0,84.0,16893.0,False,Harare,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,82.0,16893.0,False,Harare,Credit,AgriBank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,76.0,16893.0,False,Harare,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,78.0,16893.0,False,Bulawayo,Debit,AgriBank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,84.0,16893.0,False,Nyanga,Credit,Cabs Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,5.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,16508.0,16893.0,False,Kadoma,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3306.0,16893.0,False,Hwange,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3306.0,16893.0,False,Bindura,Credit,CBZ Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3306.0,16893.0,False,Harare,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3306.0,16893.0,False,Kadoma,Credit,NMB Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3285.0,16893.0,False,Bulawayo,Debit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,73.0,16893.0,False,Kwekwe,Debit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,69.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,20046.0,16893.0,False,Kadoma,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,4010.0,16893.0,False,Nyanga,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,4010.0,16893.0,False,Marondera,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,4010.0,16893.0,False,Bulawayo,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,4010.0,16893.0,False,Bulawayo,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,4010.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,7621.0,16893.0,False,Bindura,Credit,NMB Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2548.0,16893.0,False,Harare,Credit,First Capital Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2548.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2526.0,16893.0,False,Nyanga,Debit,Cabs Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,84.0,16893.0,False,Bindura,Credit,Cabs Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,14.0,16893.0,False,Bulawayo,Credit,Cabs Bank
435.0,346.0,322.0,10.0,109.0,28.0,4.0,16.0,8.0,1.0,305.0,16893.0,False,Harare,Credit,AgriBank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,11.0,16893.0,False,Bindura,Credit,Cabs Bank
435.0,402.0,321.0,95.0,121.0,89.0,14.0,17.0,8.0,1.0,2.0,16893.0,False,Kadoma,Debit,AgriBank
435.0,329.0,323.0,4.0,110.0,15.0,4.0,16.0,13.0,1.0,879.0,16893.0,False,Harare,Credit,FBC Bank
435.0,400.0,321.0,92.0,122.0,84.0,14.0,16.0,6.0,1.0,59.0,16893.0,False,Bulawayo,Credit,Standard Bank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,4.0,3411.0,16893.0,False,Bulawayo,Credit,NMB Bank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,3.0,916.0,16893.0,False,Harare,Debit,Steward Bank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,3.0,1171.0,16893.0,False,Bulawayo,Debit,Banc ABC
435.0,322.0,320.0,56.0,127.0,55.0,4.0,17.0,4.0,4.0,132.0,16893.0,False,Marondera,Credit,FBC Bank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,3.0,716.0,16893.0,False,Bulawayo,Debit,Standard Bank
435.0,324.0,321.0,50.0,126.0,47.0,4.0,17.0,4.0,4.0,36.0,16893.0,False,Kadoma,Debit,FBC Bank
434.0,275.0,317.0,190.0,165.0,219.0,1.0,17.0,12.0,2.0,676.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,13712.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3428.0,16893.0,False,Bulawayo,Debit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3428.0,16893.0,False,Harare,Debit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3428.0,16893.0,False,Nyanga,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3428.0,16893.0,False,Nyanga,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,13743.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3436.0,16893.0,False,Kadoma,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3436.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3436.0,16893.0,False,Bulawayo,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3436.0,16893.0,False,Bulawayo,Credit,Standard Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,13323.0,16893.0,False,Kadoma,Debit,AgriBank
435.0,339.0,322.0,9.0,114.0,5.0,4.0,16.0,5.0,3.0,200.0,16893.0,False,Bindura,Credit,AgriBank
435.0,435.0,308.0,14.0,675.0,169.0,34.0,17.0,1.0,6.0,93.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,13323.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,13423.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,13423.0,16893.0,False,Harare,Debit,AgriBank
435.0,352.0,323.0,25.0,105.0,45.0,5.0,16.0,6.0,1.0,90.0,16893.0,False,Harare,Credit,Steward Bank
435.0,421.0,307.0,52.0,665.0,215.0,34.0,18.0,2.0,5.0,133.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,77.0,16893.0,False,Harare,Credit,AgriBank
435.0,329.0,323.0,4.0,110.0,15.0,4.0,16.0,13.0,1.0,879.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,77.0,16893.0,False,Bindura,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,10.0,16893.0,False,Bulawayo,Credit,Steward Bank
435.0,421.0,307.0,52.0,665.0,215.0,34.0,18.0,2.0,5.0,105.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,324.0,321.0,50.0,126.0,47.0,4.0,17.0,4.0,4.0,35.0,16893.0,False,Kadoma,Credit,Cabs Bank
435.0,382.0,320.0,40.0,107.0,20.0,13.0,17.0,5.0,1.0,59.0,16893.0,False,Bulawayo,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,7014.0,16893.0,False,Harare,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3507.0,16893.0,False,Bindura,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3507.0,16893.0,False,Marondera,Debit,FBC Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,2440.0,16893.0,False,Harare,Credit,Cabs Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,800.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,10729.0,16893.0,False,Nyanga,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3577.0,16893.0,False,Bulawayo,Debit,Steward Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3577.0,16893.0,False,Harare,Credit,CBZ Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3577.0,16893.0,False,Bulawayo,Debit,Cabs Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,200.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,10914.0,16893.0,False,Bindura,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Nyanga,Credit,Steward Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Kwekwe,Debit,First Capital Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Harare,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,10914.0,16893.0,False,Harare,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Harare,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Bulawayo,Debit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3638.0,16893.0,False,Kadoma,Credit,AgriBank
